"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FMCIU","Forum Merger Corporation","10.23","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/fmciu",
"FMCIW","Forum Merger Corporation","0.4","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/fmciw",
"FWRD","Forward Air Corporation","53.11","$1.6B","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/fwrd",
"FORD","Forward Industries, Inc.","1.0801","$9.48M","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/ford",
"FWP","Forward Pharma A/S","19.6","$924.81M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fwp",
"FOSL","Fossil Group, Inc.","10.945","$530.44M","1993","Consumer Non-Durables","Consumer Specialties","http://www.nasdaq.com/symbol/fosl",
"FMI","Foundation Medicine, Inc.","40.575","$1.45B","2013","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/fmi",
"FOXF","Fox Factory Holding Corp.","32.25","$1.2B","2013","Consumer Non-Durables","Motor Vehicles","http://www.nasdaq.com/symbol/foxf",
"FRAN","Francesca&#39;s Holdings Corporation","10.64","$390.11M","2011","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/fran",
"FELE","Franklin Electric Co., Inc.","39.85","$1.85B","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/fele",
"FKLY","Frankly, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fkly",
"FRED","Fred&#39;s, Inc.","11.955","$454.89M","1992","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/fred",
"RAIL","Freightcar America, Inc.","16.495","$204.87M","2005","Capital Goods","Railroads","http://www.nasdaq.com/symbol/rail",
"FEIM","Frequency Electronics, Inc.","9.99","$87.21M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/feim",
"FRPT","Freshpet, Inc.","15.65","$533.9M","2014","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/frpt",
"FTEO","FRONTEO, Inc.","14.25","$270.19M","2013","n/a","n/a","http://www.nasdaq.com/symbol/fteo",
"FTR","Frontier Communications Corporation","1.275","$1.5B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ftr",
"FTRPR","Frontier Communications Corporation","33.1472","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ftrpr",
"FRPH","FRP Holdings, Inc.","43.35","$430.95M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/frph",
"FSBW","FS Bancorp, Inc.","45.55","$139.62M","2012","Finance","Banks","http://www.nasdaq.com/symbol/fsbw",
"FSBC","FSB Bancorp, Inc.","14.925","$28.98M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fsbc",
"FTD","FTD Companies, Inc.","17.71","$485.86M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ftd",
"FTEK","Fuel Tech, Inc.","0.855","$20.3M","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/ftek",
"FCEL","FuelCell Energy, Inc.","1.03","$61.23M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/fcel",
"FLGT","Fulgent Genetics, Inc.","5.6","$99.08M","2016","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/flgt",
"FORK","Fuling Global Inc.","3.3949","$53.49M","2015","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/fork",
"FLL","Full House Resorts, Inc.","2.22","$50.76M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/fll",
"FMAX","Full Spectrum Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fmax",
"FULT","Fulton Financial Corporation","17.75","$3.1B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fult",
"FNCX","Function(x) Inc.","0.4708","$14.07M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fncx",
"FSNN","Fusion Telecommunications International, Inc.","1.33","$29.81M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/fsnn",
"FFHL","Fuwei Films (Holdings) Co., Ltd.","2.82","$9.21M","2006","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ffhl",
"WILC","G. Willi-Food International,  Ltd.","6.85","$90.7M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/wilc",
"GTHX","G1 Therapeutics, Inc.","17.995","$633.34M","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gthx",
"FOANC","Gabelli NextShares Trust","100.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/foanc",
"MOGLC","Gabelli NextShares Trust","100.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/moglc",
"GAIA","Gaia, Inc.","10.75","$162.9M","1999","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gaia",
"GLPG","Galapagos NV","79.47","$4.04B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glpg",
"GALT","Galectin Therapeutics Inc.","2.35","$81.48M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galt",
"GALE","Galena Biopharma, Inc.","0.589","$22.05M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gale",
"GLMD","Galmed Pharmaceuticals Ltd.","5.01","$60.97M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glmd",
"GLPI","Gaming and Leisure Properties, Inc.","36.91","$7.68B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/glpi",
"GPIC","Gaming Partners International Corporation","10","$79.29M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/gpic",
"GRMN","Garmin Ltd.","52.84","$9.94B","2000","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/grmn",
"GARS","Garrison Capital Inc.","8.89","$142.68M","2013","n/a","n/a","http://www.nasdaq.com/symbol/gars",
"GDS","GDS Holdings Limited","7.615","$723.43M","2016","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gds",
"GEMP","Gemphire Therapeutics Inc.","10.66","$113M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gemp",
"GENC","Gencor Industries Inc.","15.85","$228.15M","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/genc",
"GNCMA","General Communication, Inc.","37.28","$1.34B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/gncma",
"GFN","General Finance Corporation","5.05","$132.4M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/gfn",
"GFNCP","General Finance Corporation","94.4195","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/gfncp",
"GFNSL","General Finance Corporation","25.74","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/gfnsl",
"GENE","Genetic Technologies Ltd","0.944","$15.33M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gene",
"GNUS","Genius Brands International, Inc.","4.077","$24.04M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gnus",
"GNMK","GenMark Diagnostics, Inc.","12.45","$586.23M","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gnmk",
"GNCA","Genocea Biosciences, Inc.","6.27","$178.72M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnca",
"GHDX","Genomic Health, Inc.","32.19","$1.11B","2005","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ghdx",
"GNST","GenSight Biologics S.A.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnst",
"GNTX","Gentex Corporation","18.795","$5.4B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/gntx",
"THRM","Gentherm Inc","39.05","$1.44B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/thrm",
"GNVC","GenVec, Inc.","6.65","$15.12M","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gnvc",
"GEOS","Geospace Technologies Corporation","15.73","$211.42M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/geos",
"GABC","German American Bancorp, Inc.","31.28","$717.23M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gabc",
"GERN","Geron Corporation","2.705","$430.57M","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gern",
"GEVO","Gevo, Inc.","0.585","$8.82M","2011","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gevo",
"ROCK","Gibraltar Industries, Inc.","33.25","$1.05B","1993","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/rock",
"GIGM","GigaMedia Limited","3.09","$34.15M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gigm",
"GIGA","Giga-tronics Incorporated","0.8799","$8.4M","1983","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/giga",
"GIII","G-III Apparel Group, LTD.","22.95","$1.12B","1989","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/giii",
"GILT","Gilat Satellite Networks Ltd.","4.55","$248.66M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/gilt",
"GILD","Gilead Sciences, Inc.","64.85","$84.74B","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gild",
"GBCI","Glacier Bancorp, Inc.","32.88","$2.52B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbci",
"GLAD","Gladstone Capital Corporation","9.86","$251.61M","2001","n/a","n/a","http://www.nasdaq.com/symbol/glad",
"GLADO","Gladstone Capital Corporation","25.5745","$56.26M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glado",
"GOOD","Gladstone Commercial Corporation","21.11","$531.88M","2003","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/good",
"GOODM","Gladstone Commercial Corporation","25.67","n/a","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodm",
"GOODO","Gladstone Commercial Corporation","25.59","$29.43M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodo",
"GOODP","Gladstone Commercial Corporation","25.6447","$25.64M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodp",
"GAIN","Gladstone Investment Corporation","9.25","$299.43M","2005","n/a","n/a","http://www.nasdaq.com/symbol/gain",
"GAINM","Gladstone Investment Corporation","25.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainm",
"GAINN","Gladstone Investment Corporation","25.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainn",
"GAINO","Gladstone Investment Corporation","25.6321","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gaino",
"LAND","Gladstone Land Corporation","11.27","$133.56M","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/land",
"LANDP","Gladstone Land Corporation","25.94","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/landp",
"GLBZ","Glen Burnie Bancorp","10.95","$30.55M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/glbz",
"GBT","Global Blood Therapeutics, Inc.","29.35","$1.28B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gbt",
"GLBR","Global Brokerage, Inc.","2.055","$12.62M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/glbr",
"ENT","Global Eagle Entertainment Inc.","2.865","$244.41M","2011","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ent",
"GBLI","Global Indemnity Limited","38.01","$667.48M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbli",
"GBLIL","Global Indemnity Limited","25.38","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gblil",
"GBLIZ","Global Indemnity Limited","25.55","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbliz",
"GPAC","Global Partner Acquisition Corp.","9.93","$192.7M","2015","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/gpac",
"GPACU","Global Partner Acquisition Corp.","10.18","n/a","2015","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/gpacu",
"GPACW","Global Partner Acquisition Corp.","0.27","n/a","2015","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/gpacw",
"SELF","Global Self Storage, Inc.","5.09","$38.78M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/self",
"GSOL","Global Sources Ltd.","20.6","$498.98M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/gsol",
"GWRS","Global Water Resources, Inc.","9.24","$180.93M","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/gwrs",
"KRMA","Global X Conscious Companies ETF","17.4268","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/krma",
"FINX","Global X FinTech ETF","18.51","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/finx",
"ACTX","Global X Guru Activist ETF","15.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/actx",
"BFIT","Global X Health & Wellness Thematic ETF","15.817","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfit",
"SNSR","Global X Internet of Things ETF","18.34","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/snsr",
"LNGR","Global X Longevity Thematic ETF","18.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lngr",
"MILN","Global X Millennials Thematic ETF","17.6888","$4.42M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/miln",
"EFAS","Global X MSCI SuperDividend EAFE ETF","17.2668","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/efas",
"QQQC","Global X NASDAQ China Technology ETF","25.34","$20.27M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqqc",
"BOTZ","Global X Robotics & Artificial Intelligence ETF","19.04","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/botz",
"CATH","Global X S&P 500 Catholic Values ETF","29.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cath",
"SOCL","Global X Social Media ETF","28.8427","$119.7M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/socl",
"ALTY","Global X SuperDividend Alternatives ETF","15.3606","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alty",
"SRET","Global X SuperDividend REIT ETF","15.07","$3.01M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sret",
"YLCO","Global X Yieldco Index ETF","11.94","$2.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ylco",
"GLBS","Globus Maritime Limited","1.44","$39.79M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs",
"GLUU","Glu Mobile Inc.","2.696","$363.26M","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/gluu",
"GLYC","GlycoMimetics, Inc.","12.28","$401.44M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glyc",
"GOGO","Gogo Inc.","11.675","$1.01B","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gogo",
"GLNG","Golar LNG Limited","22.645","$2.29B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","20.41","$1.41B","2011","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlp",
"GDEN","Golden Entertainment, Inc.","17.25","$383.84M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/gden",
"GOGL","Golden Ocean Group Limited","5.66","$654.49M","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gogl",
"GBDC","Golub Capital BDC, Inc.","19.72","$1.13B","2010","n/a","n/a","http://www.nasdaq.com/symbol/gbdc",
"GTIM","Good Times Restaurants Inc.","3.45","$42.43M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/gtim",
"GPRO","GoPro, Inc.","8.495","$1.22B","2014","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gpro",
"GSHT","Gores Holdings II, Inc.","9.92","$396.8M","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gsht",
"GSHTU","Gores Holdings II, Inc.","10.3833","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtu",
"GSHTW","Gores Holdings II, Inc.","1.3","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtw",
"GOV","Government Properties Income Trust","22.16","$1.58B","2009","Finance","Real Estate","http://www.nasdaq.com/symbol/gov",
"GOVNI","Government Properties Income Trust","25.45","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/govni",
"GPIA","GP Investments Acquisition Corp.","10.05","$216.7M","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpia",
"GPIAU","GP Investments Acquisition Corp.","10.98","n/a","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpiau",
"GPIAW","GP Investments Acquisition Corp.","0.579","n/a","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpiaw",
"LOPE","Grand Canyon Education, Inc.","78.39","$3.75B","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/lope",
"GRVY","GRAVITY Co., Ltd.","18.15","$63.06M","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"FULLL","Great Elm Capital Corp.","25.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fulll",
"GECC","Great Elm Capital Corp.","10.35","$120.49M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gecc",
"GEC","Great Elm Capital Group, Inc. ","3.35","$77.72M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gec",
"GLDD","Great Lakes Dredge & Dock Corporation","4.25","$260.41M","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/gldd",
"GSBC","Great Southern Bancorp, Inc.","49.4","$693.23M","1989","Finance","Major Banks","http://www.nasdaq.com/symbol/gsbc",
"GNBC","Green Bancorp, Inc.","18.95","$704.8M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/gnbc",
"GRBK","Green Brick Partners, Inc.","10.5","$515.23M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/grbk",
"GPP","Green Plains Partners LP","19.095","$607.23M","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpp",
"GPRE","Green Plains, Inc.","23.425","$937.24M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpre",
"GCBC","Greene County Bancorp, Inc.","24","$204.06M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/gcbc",
"GLRE","Greenlight Reinsurance, Ltd.","19.9","$745.03M","2007","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/glre",
"GSUM","Gridsum Holding Inc.","10.16","$302.11M","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsum",
"GRIF","Griffin Industrial Realty, Inc.","32.2","$161.02M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/grif",
"GRFS","Grifols, S.A.","21.25","$14.52B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs",
"GRPN","Groupon, Inc.","3.03","$1.7B","2011","Technology","Advertising","http://www.nasdaq.com/symbol/grpn",
"OMAB","Grupo Aeroportuario del Centro Norte S.A.B. de C.V.","43.93","$2.16B","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/omab",
"GGAL","Grupo Financiero Galicia S.A.","45.97","$5.98B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ggal",
"GSIT","GSI Technology, Inc.","8.49","$173.06M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/gsit",
"GSVC","GSV Capital Corp","4.5","$99.81M","2011","n/a","n/a","http://www.nasdaq.com/symbol/gsvc",
"GTXI","GTx, Inc.","3.31","$53.1M","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gtxi",
"GTYH","GTY Technology Holdings, Inc.","9.95","$686.55M","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyh",
"GTYHU","GTY Technology Holdings, Inc.","10.47","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/gtyhu",
"GTYHW","GTY Technology Holdings, Inc.","1.5","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyhw",
"GBNK","Guaranty Bancorp","25.5","$724.03M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbnk",
"GNTY","Guaranty Bancshares, Inc.","33.35","$358.64M","2017","Finance","Major Banks","http://www.nasdaq.com/symbol/gnty",
"GFED","Guaranty Federal Bancshares, Inc.","20.11","$88.91M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gfed",
"GUID","Guidance Software, Inc.","6.62","$221.14M","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/guid",
"GIFI","Gulf Island Fabrication, Inc.","9.375","$139.23M","1997","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gifi",
"GURE","Gulf Resources, Inc.","1.68","$78.61M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gure",
"GPOR","Gulfport Energy Corporation","13.77","$2.52B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gpor",
"GWPH","GW Pharmaceuticals Plc","97.37","$2.47B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gwph",
"GWGH","GWG Holdings, Inc","10.02","$57.91M","2014","Finance","Life Insurance","http://www.nasdaq.com/symbol/gwgh",
"GYRO","Gyrodyne , LLC","21.112","$31.3M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/gyro",
"HEES","H&E Equipment Services, Inc.","19.86","$706.52M","2006","n/a","n/a","http://www.nasdaq.com/symbol/hees",
"HLG","Hailiang Education Group Inc.","8","$205.6M","2015","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hlg",
"HNRG","Hallador Energy Company","8.27","$243.95M","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/hnrg",
"HALL","Hallmark Financial Services, Inc.","10.475","$193.28M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hall",
"HALO","Halozyme Therapeutics, Inc.","12.775","$1.81B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/halo",
"HBK","Hamilton Bancorp, Inc.","14.7","$50.12M","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hbk",
"HLNE","Hamilton Lane Incorporated","20.6","$927.12M","2017","Finance","Investment Managers","http://www.nasdaq.com/symbol/hlne",
"HBHC","Hancock Holding Company","46.75","$3.95B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhc",
"HBHCL","Hancock Holding Company","25.82","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhcl",
"HNH","Handy & Harman Ltd.","28","$342.2M","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/hnh",
"HAFC","Hanmi Financial Corporation","26.75","$866.69M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hafc",
"HQCL","Hanwha Q CELLS Co., Ltd. ","6.69","$559.43M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/hqcl",
"HONE","HarborOne Bancorp, Inc.","20.1","$645.63M","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/hone",
"HDNG","Hardinge Inc.","12.48","$161.43M","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hdng",
"HLIT","Harmonic Inc.","5.5","$442.92M","1995","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/hlit",
"HRMN","Harmony Merger Corp.","10.26","$149.69M","2015","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/hrmn",
"HRMNU","Harmony Merger Corp.","10.01","n/a","2015","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/hrmnu",
"HRMNW","Harmony Merger Corp.","0.3525","n/a","2015","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/hrmnw",
"HBIO","Harvard Bioscience, Inc.","2.65","$91.74M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/hbio",
"HCAP","Harvest Capital Credit Corporation","13.13","$84.12M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcap",
"HCAPL","Harvest Capital Credit Corporation","25.6997","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcapl",
"HAS","Hasbro, Inc.","108.0325","$13.5B","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/has",
"HA","Hawaiian Holdings, Inc.","52.9","$2.84B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ha",
"HCOM","Hawaiian Telcom Holdco, Inc.","24.56","$284.6M","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/hcom",
"HWKN","Hawkins, Inc.","47.4","$503.37M","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/hwkn",
"HWBK","Hawthorn Bancshares, Inc.","20.4999","$115.08M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hwbk",
"HAYN","Haynes International, Inc.","37.18","$465.04M","2007","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/hayn",
"HDS","HD Supply Holdings, Inc.","34.01","$6.86B","2013","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/hds",
"HIIQ","Health Insurance Innovations, Inc.","21.2","$334.75M","2013","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/hiiq",
"HCSG","Healthcare Services Group, Inc.","47.32","$3.45B","1983","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hcsg",
"HQY","HealthEquity, Inc.","48.48","$2.9B","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hqy",
"HSTM","HealthStream, Inc.","29.16","$929.69M","2000","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/hstm",
"HTLD","Heartland Express, Inc.","19.99","$1.67B","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/htld",
"HTLF","Heartland Financial USA, Inc.","44.9","$1.2B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/htlf",
"HTBX","Heat Biologics, Inc.","0.675","$24.04M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/htbx",
"HEBT","Hebron Technology Co., Ltd.","3.71","$54.52M","2016","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hebt",
"HSII","Heidrick & Struggles International, Inc.","21.525","$403.3M","1999","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/hsii",
"HELE","Helen of Troy Limited","93.45","$2.53B","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/hele",
"HMNY","Helios and Matheson Analytics Inc","2.55","$14.95M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hmny",
